sr_no,date,startup_name,industry_vertical,subvertical,city__location,investors_name,investmentntype,amount_in_usd
1,09-01-2020,BYJUS,E-learning,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,200000000.0
2,13-01-2020,Shuttl,App based shuttle service,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,8048394.0
3,09-01-2020,Mamaearth,Retailer of baby and toddler products,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,18358860.0
4,02-01-2020,wealth bucket,Online Investment,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,3000000.0
5,02-01-2020,Fashor,Embroiled Clothes For Women,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,1800000.0
6,13-01-2020,Pando,"Open-market, freight management platform","Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,9000000.0
7,10-01-2020,Zomato,Online Food Delivery Platform,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,150000000.0
8,12-12-2019,Ecozen,Agritech,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000.0
9,06-12-2019,CarDekho,Automobile,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,70000000.0
10,03-12-2019,Dhruva Space,Satellite Communication,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,50000000.0
11,13-12-2019,Rivigo,Logistics Services and Solutions,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,20000000.0
12,17-12-2019,Healthians,Food Solutions For Corporate,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000000.0
13,16-12-2019,Licious,Online Meat And Seafood Ordering Startup,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,30000000.0
14,16-12-2019,InCred,Non-Banking Financial Company,Non-Banking Financial Company,Mumbai,Unknown,Debt Funding,5900000.0
15,14-12-2019,Trell,Experience Discovery Platform,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,2000000.0
16,11-12-2019,Rein Games,Real money based gaming startup,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,50000000.0
17,20-12-2019,Lenskart.com,Online Eyewear Shopping Portal,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,231000000.0
18,13-11-2019,Freshworks,Business and customer engagement tools,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,150000000.0
19,14-11-2019,Misters,Men's Health and Wellness brand,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,486000.0
20,13-11-2019,Sunstone Eduversity Pvt. Ltd,Elearning,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,1500000.0
21,17-11-2019,Burger Singh,Indian Burger Brand,Indian Burger Brand,Gurgaon,RB Investments,Venture,1700000.0
22,18-11-2019,Healthians,Healthcare services,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,12000000.0
23,15-11-2019,Ninjacart,Agritech,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,26000000.0
24,20-11-2019,Aye Finance,Financial Services To MSMEs,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,17411265.0
25,12-11-2019,SuperGaming,Social gaming platform,Social gaming platform,Pune,Dream Incubator,Seed Funding,1300000.0
26,20-11-2019,Clumio,Recovery software,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,135000000.0
27,11-11-2019,eBikeGo,Electric bike rental,Electric bike rental,Amritsar,Startup Buddy,Seed,300000.0
28,19-11-2019,Digital Mall Asia,Virtual e-commerce platform,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,220000000.0
29,18-11-2019,Medikabazaar,B2B platform for medical supplies,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800000.0
30,15-11-2019,Vogo Automotive,Scooter sharing app,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000.0
32,25-11-2019,Paytm,Mobile Wallet,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,1000000000.0
33,04-10-2019,Dunzo,Delivery Service,Delivery Service,Bengaluru,Lightbox,Series D,45000000.0
34,02-10-2019,Udaan,Business development,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,585000000.0
35,21-10-2019,The Man Company,Beauty and Grooming,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,38080000.0
36,05-09-2019,FPL Technologies,Financial Services,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,4500000.0
37,04-09-2019,Cashflo,Invoice discounting platform and SME lending marketplace,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,3300000.0
38,04-09-2019,Digital F5,Digital marketing firm,Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,6000000.0
39,04-09-2019,3rdFlix,Education Technology,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,5000000.0
40,04-09-2019,75F,Building automation system,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,18000000.0
41,04-09-2019,Myelin Foundry,Deep-technology,Deep-technology,Bengaluru,Endiya Partners,Seed,1000000.0
42,04-09-2019,Atomberg Technology,"Consumer Electronics, Home Appliances","Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,10000000.0
43,04-09-2019,GOQii,Wearable Fitness Bands,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,450000000.0
44,03-09-2019,Vyapar App,Mobile-based Accounting Software,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,5000000.0
45,01-08-2019,CarDekho,Automotive,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,20000000.0
46,01-08-2019,Progcap,Supply Chain Management,Supply Chain Management,New Delhi,Sequoia India,Series A,5000000.0
47,01-08-2019,MyPetrolPump,Fuel Delivery,Fuel Delivery,Bengaluru,Unknown,Seed Funding Round,1600000.0
48,01-08-2019,Alteria Capital,VC Funds,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,140000000.0
49,01-08-2019,Pine Labs,Last-mile retail transaction technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,38080000.0
50,12-08-2019,Meesho,Social Commerce,Social Commerce,Bengaluru,Naspers,Series D,125000000.0
51,13-08-2019,Cars24,Car Retail,Car Retail,Gurugram,MS Dhoni,Series D,11000000.0
52,13-08-2019,Uniphore,Conversational AI,Conversational AI,Palo Alto,March Capital Partners,Series C,51000000.0
53,23-08-2019,Zendrive,Road Safety Analytics,Road Safety Analytics,San Francisco,XL Innovate,Series B,37000000.0
54,23-08-2019,Lo! Foods,Low carb food for Diabetics,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,500000.0
55,23-08-2019,Tala,Digital Lending Platform,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,110000000.0
56,22-08-2019,INDwealth,Wealth Management,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,15000000.0
57,21-08-2019,HungerBox,B2B Foodtech,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,6590000.0
58,23-08-2019,AdmitKard,University Admissions,University Admissions,Noida,Growth DNA,Seed Round,1000000.0
59,19-08-2019,Mishry Reviews,Product Review,Product Review,Gurgaon,Vir Sanghvi,Series A,4250000.0
60,19-08-2019,Grofers,Grocery Delivery,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,70000000.0
61,27-08-2019,Rapido Bike Taxi,Bike Taxi,Bike Taxi,Bengaluru,Westbridge Capital,Series B,3900000000.0
62,02-07-2019,RenewBuy,Auto Insurance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,19000000.0
63,02-07-2019,Atlan,Big Data,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,2500000.0
64,01-07-2019,WizCounsel,Consulting,Consulting,New Delhi,Kapil Dev,Angel,145000.0
65,03-07-2019,Ola Cabs,Cabs,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,1000000.0
66,01-07-2019,Uniphore,Speech Recognition,Speech Recognition,Taramani,March Capital Partners,Series C,38080000.0
67,04-07-2019,Daalchini Technologies,Digital Vending Machine,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,500000.0
68,10-07-2019,"""BYJU\\'S""",Education,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,150000000.0
69,11-07-2019,Moglix,Industrial Tools and Equipments,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60000000.0
70,10-07-2019,Ezyhaul,Logistics,Logistics,Singapore,Undisclosed,Series B,16000000.0
71,10-07-2019,Indus OS,Smartphone Operating System,Smartphone Operating System,Andheri,Ventureast,Series B,5750000.0
72,10-07-2019,HealthAssure,Primary care medical network,Primary care medical network,Mumbai,Blume Ventures,Series A,2500000.0
73,09-07-2019,House of Msasaba,Clothes and Apparel,Clothes and Apparel,Mumbai,Binny Bansal,Series A,1000000.0
74,08-07-2019,Board Infinity,Full-stack career platform,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,319605.0
75,05-06-2019,NoBroker,Real Estate,Real Estate,Bengaluru,General Atlantic,Series C,51000000.0
76,04-06-2019,Bira91,Brewery,Brewery,New Delhi,Anicut Capital,Debt Funding,10000000.0
78,03-06-2019,Avail Finance,FinTech,FinTech,Bengaluru,Matrix Partners,Series A,9000000.0
79,04-06-2019,BharatPe,FinTech,FinTech,New Delhi,Insight Partners,Series B,75000000.0
80,04-06-2019,Recykal,Optimization,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,26000000.0
81,03-06-2019,Agara Labs,Artificial Intelligence,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,2500000.0
83,06-06-2019,Chakr Innovation,Renewable Energy,Renewable Energy,New Delhi,IAN Fund,Series A,26000000.0
84,06-06-2019,Pratilipi,E-Books,E-Books,Bengaluru,Qiming Venture Partners,Series B,15109500.0
85,10-06-2019,Bolo App,Video Platform,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,430200.0
86,10-06-2019,OkCredit,Financial Services,Financial Services,Haryana,Tiger Global Management,Series A,15500000.0
87,06-06-2019,Biz2Credit,Online Lending Platform,Online Lending Platform,New York,WestBridge Capital,Series B,52000000.0
88,08-06-2019,Vogo Automotive Pvt. Ltd.,Dockless Scooter Rental Company,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,3584000.0
89,04-06-2019,Leegality,Digital Documentation,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,3400000.0
90,06-05-2019,Ola Electric,Cabs,Cabs,Bengaluru,Tata Sons,Series A,4250000.0
91,06-05-2019,Saahas Zero Waste,Optimization,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,868600.0
92,05-05-2019,StyleDotMe,Fashion and Shopping,Fashion and Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,1700000.0
93,01-05-2019,BlackBuck,Logistics,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,150000000.0
94,02-05-2019,Zenoti,Beauty and Wellness Industry,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,50000000.0
95,28-05-2019,Ather Energy,Electric Vehicle,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,51000000.0
96,28-05-2019,FreshVnF,Fresh Agriculture Produces,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,140000000.0
97,30-05-2019,GlowRoad,Retail,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,11500000.0
98,31-05-2019,Bira91,Brewery,Brewery,New Delhi,Sixth Sense Ventures,Series B,5600000.0
99,16-04-2019,Kuvera,Wealth Management,Wealth Management,Bengaluru,Eight Roads,Series A,45000000.0
100,12-04-2019,Medlife,Online Medicine,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,17000000.0
101,10-04-2019,Kabadiwala,Waste Management,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,430665.0
102,13-04-2019,Tripoto,Travel,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,3591375.0
103,12-04-2019,Azah,Organic wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed Funding,200000.0
104,11-04-2019,Setu,Banking,Banking,Bengaluru,Lightspeed India Partners,Seed Funding,3500000.0
105,10-04-2019,Toppr,E-learning,E-learning,Mumbai,Milestone,Debt and Preference capital,6320820.0
106,10-04-2019,Craftsvilla,Fashion and Apparel,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,2443495.0
107,10-04-2019,Unacademy,E-learning,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,307000.0
108,11-04-2019,CleverTap,Mobile analytics and marketing,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,26000000.0
109,19-04-2019,My Healthcare,Software Solutions,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,3000000.0
110,19-04-2019,KrazyBee,Lending Platform,Lending Platform,Bengaluru,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,1700000.0
111,17-04-2019,Shuttl,Bus Aggregation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,5000000.0
112,17-04-2019,Increff,Supply-chain technology solutions,Supply-chain technology solutions,Bengaluru,"021 Capita, Binny Bansal",Series A,3000000.0
113,01-02-2019,FleetX,Logistics,Logistics,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre Series A,1700000.0
114,08-02-2019,Zilingo,Fashion & Apparel,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,226000000.0
115,13-02-2019,NanoClean Global,Anti-Pollution,Anti-Pollution,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,600000.0
116,14-02-2018,OyoRooms,Budget Rooms,Budget Rooms,Gurgaon,DiDi Chuxing,Equity,100000000.0
117,03-01-2019,CarDekho,Online Marketplace,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,110000000.0
118,04-01-2019,Vyome Therapeutics Inc.,Specialty pharmaceutical,Specialty pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,22000000.0
119,04-01-2019,Samunnati Financial Intermediation & Services Pvt. Ltd,Non-banking financial company,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,5000000.0
120,04-12-2018,Manch,Hyperlocal Content,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed Funding,700000.0
121,01-12-2018,UrbanClap Technologies Pvt. Ltd,Home services marketplace,Home services marketplace,New Delhi,Steadview Capital and Vy Capital.,Series D,50000000.0
122,02-12-2018,Guiddoo,Platform for travel agents,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,800000.0
123,02-12-2018,Career Anna,"Video-based certification, trainings","Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A,572000.0
124,04-12-2018,Nagpur Wholesale,eCommerce,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,143000.0
125,06-12-2018,ShopKirana,eCommerce,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,2000000.0
126,06-12-2018,BuildSupply,"Real Estate, ERP","Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,3500000.0
127,01-11-2018,GoDesi,Regional Flavours,Regional Flavours,Bengaluru,Lead Angels Network,Seed/ Angel Funding,138995.0
128,03-11-2018,Veritas Finance Ltd.,MSME Finance,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,27799000.0
129,06-11-2018,Meesho,Social Commerce,Social Commerce,Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures",Series C,50000000.0
130,08-11-2018,Mobile Premier League,Mobile e-Sports,Mobile e-Sports,Bengaluru,Undisclosed,Series A,500000.0
131,08-11-2018,A&R Bon Vivants,Meat Retail Chain,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,1000000.0
132,12-11-2018,Blackbuck,POS For Online Ordering,POS For Online Ordering,"New York, Bengaluru",Tiger Global,Series A,1000000.0
133,12-11-2018,MilkBAsket,Micro-delivery grocery service,Micro-delivery grocery service,New Delhi,Mayfield Fund,Series B,1300000.0
134,13-11-2018,DriveU,On-Demand Drivers,On-Demand Drivers,Bengaluru,Stevens Creek Ventures,Mezzanine,1000000.0
135,14-11-2018,CleanseCar,Car Wash,Car Wash,Bengaluru,Venture Catalysts,Seed/ Angel Funding,500000.0
136,19-11-2018,Automation Anywhere,Robotics,Robotics,California,SoftBank Vision Fund,Series B,300000000.0
137,20-11-2018,HealthifyMe,Wellness Coach,Wellness Coach,Bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),6000000.0
138,21-11-2018,Genius Corner,Personalized Learning,Personalized Learning,Noida,Individual investors,Seed Funding,278000.0
139,22-11-2018,Aavishkaar-Intellecap Group,SME Funding,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,31000000.0
140,22-11-2018,Skillbox,Art,Art,Gurugram,Individual investors,Seed Funding,324500.0
141,23-11-2018,Signzy,Digital Onboarding Solution,Digital Onboarding Solution,Mumbai/Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,3400000.0
142,24-11-2018,Engineer.ai,AI Platform,AI Platform,India/US,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,29500000.0
143,25-11-2018,InCred Finance,SME Lending,SME Lending,India,"Paragon Partners, Individual Investors",Private Equity,42000000.0
144,25-11-2018,Roposo,Video Sharing,Video Sharing,Delhi,Bertelsmann India Investments,Series B,1700000.0
145,01-10-2018,Northmist,Mens Wear,Mens Wear,Delhi,Prashant Jaiswal,Seed/ Angel Funding,1000000.0
146,02-10-2018,Origo Commodities India Pvt. Ltd,Supply Chain,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed/ Angel Funding,11000000.0
147,04-10-2018,Grover Zampa,Wine,Wine,Mumbai,Ravi Viswanathan,Private Equity,8200000.0
148,05-10-2018,Droom,New and Used Cars Platform,New and Used Cars Platform,Gurgaon,ZigExN,Series E,3000000.0
149,11-10-2018,Innov8,Co-Working,Co-Working,New Delhi,Credence Family Office,Pre-Series A,4000000.0
150,12-10-2018,Blackbuck,Largest Trucking Platform,Largest Trucking Platform,Bengaluru,Sequoia Capital India,Private Funding,14680000.0
151,12-10-2018,LetsTransport,Book Trucks Online,Book Trucks Online,Bengaluru,Fosun International,Series C,12000000.0
152,01-09-2018,Netmeds,Online Pharmacy Chain,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,35000000.0
153,03-09-2018,Udaan,Logistics and Shipping,Logistics and Shipping,Bengaluru,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity,225000000.0
154,03-09-2018,Daily hunt,News and ebooks Mobile App\\xc2\\xa0,News and ebooks Mobile App\\xc2\\xa0,Bengaluru,Falcon Edge,Private Equity,6390000.0
155,04-09-2018,3HCare,Healthcare Service Provider,Healthcare Service Provider,Delhi,Unknown,Seed / Angel Funding,1000000.0
156,04-09-2018,HappyGoEasy,Online Travel Agecy,Online Travel Agecy,Gurugram,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private Equity,5925000.0
157,05-09-2018,Nykaa,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity,157200000.0
158,05-09-2018,Mad Street Den,Computer Vision And Artificial Intelligence (Ai) Platform,Computer Vision And Artificial Intelligence (Ai) Platform,Chennai,KDDI\\xc2\\xa0,Private Equity,5925000.0
